,article_name,authors,url,volume,journal,journal_url,scrape_time
22,"Technology, offshoring and the rise of non-routine jobs","Reijnders, Laurie S.M. & de Vries, Gaaitzen J.",https://ideas.repec.org/a/eee/deveco/v135y2018icp412-432.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
23,The impact of U.S. deportation of criminals on gang development and education in El Salvador,"Kalsi, Priti",https://ideas.repec.org/a/eee/deveco/v135y2018icp433-448.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
24,Widows' land rights and agricultural investment,"Dillon, Brian & Voena, Alessandra",https://ideas.repec.org/a/eee/deveco/v135y2018icp449-460.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
25,Aid and growth: evidence from firm-level data,"Chauvet, Lisa & Ehrhart, Hélène",https://ideas.repec.org/a/eee/deveco/v135y2018icp461-477.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
26,Political inclusion and educational investment: Estimates from a national policy experiment in India,"O'Connell, Stephen D.",https://ideas.repec.org/a/eee/deveco/v135y2018icp478-487.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
27,Agricultural productivity and the sectoral reallocation of labor in rural India,"Emerick, Kyle",https://ideas.repec.org/a/eee/deveco/v135y2018icp488-503.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
28,"Labor scarcity, land tenure, and historical legacy: Evidence from Mexico","Sellars, Emily A. & Alix-Garcia, Jennifer",https://ideas.repec.org/a/eee/deveco/v135y2018icp504-516.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
29,Formal finance and informal safety nets of the poor: Evidence from a savings field experiment,"Flory, Jeffrey A.",https://ideas.repec.org/a/eee/deveco/v135y2018icp517-533.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
30,Strict duality and overlapping productivity distributions between formal and informal firms,"Allen, Jeffrey & Nataraj, Shanthi & Schipper, Tyler C.",https://ideas.repec.org/a/eee/deveco/v135y2018icp534-554.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
31,"Skill premium, labor supply, and changes in the structure of wages in Latin America","Fernández, Manuel & Messina, Julián",https://ideas.repec.org/a/eee/deveco/v135y2018icp555-573.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
32,Building resilience to natural disasters: An application to small developing states,"Marto, Ricardo & Papageorgiou, Chris & Klyuev, Vladimir",https://ideas.repec.org/a/eee/deveco/v135y2018icp574-586.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
33,Heterogeneous effects of economic integration agreements,"Baier, Scott L. & Bergstrand, Jeffrey H. & Clance, Matthew W.",https://ideas.repec.org/a/eee/deveco/v135y2018icp587-608.html," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
34,"Grain today, gain tomorrow: Evidence from a storage experiment with savings clubs in Kenya","Aggarwal, Shilpa & Francis, Eilin & Robinson, Jonathan",https://ideas.repec.org/a/eee/deveco/v134y2018icp1-15.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
35,"Institution shocks and economic outcomes: Allende's election, Pinochet's coup and the Santiago stock market","Girardi, Daniele & Bowles, Samuel",https://ideas.repec.org/a/eee/deveco/v134y2018icp16-27.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
36,Do lower taxes reduce informality? Evidence from Brazil,"Rocha, Rudi & Ulyssea, Gabriel & Rachter, Laísa",https://ideas.repec.org/a/eee/deveco/v134y2018icp28-49.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
37,Foreign aid and growth: A Sp P-VAR analysis using satellite sub-national data for Uganda,"Civelli, Andrea & Horowitz, Andrew & Teixeira, Arilton",https://ideas.repec.org/a/eee/deveco/v134y2018icp50-67.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
38,The impact of packaging and messaging on adherence to malaria treatment: Evidence from a randomized controlled trial in Uganda,"Cohen, Jessica & Saran, Indrani",https://ideas.repec.org/a/eee/deveco/v134y2018icp68-95.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
39,Does the form of delivering incentives in conditional cash transfers matter over a decade later?,"Ham, Andrés & Michelson, Hope C.",https://ideas.repec.org/a/eee/deveco/v134y2018icp96-108.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
40,A poor means test? Econometric targeting in Africa,"Brown, Caitlin & Ravallion, Martin & van de Walle, Dominique",https://ideas.repec.org/a/eee/deveco/v134y2018icp109-124.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
41,Out of the Shadows? Revisiting the impact of the Brazilian SIMPLES program on firms’ formalization rates,"Piza, Caio",https://ideas.repec.org/a/eee/deveco/v134y2018icp125-132.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
42,Audit risk and rent extraction: Evidence from a randomized evaluation in Brazil,"Zamboni, Yves & Litschig, Stephan",https://ideas.repec.org/a/eee/deveco/v134y2018icp133-149.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
43,Power outages and firm performance in Sub-Saharan Africa,"Cole, Matthew A. & Elliott, Robert J.R. & Occhiali, Giovanni & Strobl, Eric",https://ideas.repec.org/a/eee/deveco/v134y2018icp150-159.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
44,Direct and indirect effects of trade liberalization: Evidence from Chile,"Linarello, Andrea",https://ideas.repec.org/a/eee/deveco/v134y2018icp160-175.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
45,Assessing the degree of international consumption risk sharing,"Hevia, Constantino & Servén, Luis",https://ideas.repec.org/a/eee/deveco/v134y2018icp176-190.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
46,Do welfare programs work in weak states? Why? Evidence from a maternity support program in India,"Ghosh, Prabhat & Kochar, Anjini",https://ideas.repec.org/a/eee/deveco/v134y2018icp191-208.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
47,Commercialization and the decline of joint liability microcredit,"de Quidt, Jonathan & Fetzer, Thiemo & Ghatak, Maitreesh",https://ideas.repec.org/a/eee/deveco/v134y2018icp209-225.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
48,"Migrant self-selection: Anthropometric evidence from the mass migration of Italians to the United States, 1907–1925","Spitzer, Yannay & Zimran, Ariell",https://ideas.repec.org/a/eee/deveco/v134y2018icp226-247.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
49,Financial frictions and the rule of law,"Ranasinghe, Ashantha & Restuccia, Diego",https://ideas.repec.org/a/eee/deveco/v134y2018icp248-271.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
50,What's different about monetary policy transmission in remittance-dependent countries?,"Barajas, Adolfo & Chami, Ralph & Ebeke, Christian & Oeking, Anne",https://ideas.repec.org/a/eee/deveco/v134y2018icp272-288.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
51,Unexpected guests: The impact of internal displacement inflows on rental prices in Colombian host cities,"Depetris-Chauvin, Emilio & Santos, Rafael J.",https://ideas.repec.org/a/eee/deveco/v134y2018icp289-309.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
52,"Openness, specialization, and the external vulnerability of developing countries","Barrot, Luis-Diego & Calderón, César & Servén, Luis",https://ideas.repec.org/a/eee/deveco/v134y2018icp310-328.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
53,Educational inequality and intergenerational mobility in Latin America: A new database,"Neidhöfer, Guido & Serrano, Joaquín & Gasparini, Leonardo",https://ideas.repec.org/a/eee/deveco/v134y2018icp329-349.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
54,"The consumption, income, and wealth of the poorest: An empirical analysis of economic inequality in rural and urban Sub-Saharan Africa for macroeconomists","De Magalhães, Leandro & Santaeulàlia-Llopis, Raül",https://ideas.repec.org/a/eee/deveco/v134y2018icp350-371.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
55,Family networks and school choice,"Dustan, Andrew",https://ideas.repec.org/a/eee/deveco/v134y2018icp372-391.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
56,The distributional consequences of trade liberalization: Consumption tariff versus investment tariff reduction,"Turnovsky, Stephen J. & Rojas-Vallejos, Jorge",https://ideas.repec.org/a/eee/deveco/v134y2018icp392-415.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
57,A theory on the evolution of religious norms and economic prohibition,"Seror, Avner",https://ideas.repec.org/a/eee/deveco/v134y2018icp416-427.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
58,Noncooperative decision making in the household: Evidence from Malawi,"Walther, Selma",https://ideas.repec.org/a/eee/deveco/v134y2018icp428-442.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
59,Household economic strengthening through financial and psychosocial programming: Evidence from a field experiment in South Africa,"Steinert, Janina Isabel & Cluver, Lucie Dale & Meinck, Franziska & Doubt, Jenny & Vollmer, Sebastian",https://ideas.repec.org/a/eee/deveco/v134y2018icp443-466.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
60,Why are adult women missing? Son preference and maternal survival in India,"Milazzo, Annamaria",https://ideas.repec.org/a/eee/deveco/v134y2018icp467-484.html," 2018, Volume 134, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
61,Indirect political budget cycles: Evidence from Chilean municipalities,"Corvalan, Alejandro & Cox, Paulo & Osorio, Rodrigo",https://ideas.repec.org/a/eee/deveco/v133y2018icp1-14.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
62,Do non-monetary prices target the poor? Evidence from a field experiment in India,"Hoffmann, Bridget",https://ideas.repec.org/a/eee/deveco/v133y2018icp15-32.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
63,The international credit channel of U.S. monetary policy transmission to developing countries: Evidence from trade data,"Lin, Shu & Ye, Haichun",https://ideas.repec.org/a/eee/deveco/v133y2018icp33-41.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
64,Can unconditional cash transfers raise long-term living standards? Evidence from Zambia,"Handa, Sudhanshu & Natali, Luisa & Seidenfeld, David & Tembo, Gelson & Davis, Benjamin",https://ideas.repec.org/a/eee/deveco/v133y2018icp42-65.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
65,Remittances and the informal economy,"Chatterjee, Santanu & Turnovsky, Stephen J.",https://ideas.repec.org/a/eee/deveco/v133y2018icp66-83.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
66,Career concerns and multitasking local bureaucrats: Evidence of a target-based performance evaluation system in China,"Chen, Yvonne Jie & Li, Pei & Lu, Yi",https://ideas.repec.org/a/eee/deveco/v133y2018icp84-101.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
67,"Structural transformation, marketization, and household production around the world","Bridgman, Benjamin & Duernecker, Georg & Herrendorf, Berthold",https://ideas.repec.org/a/eee/deveco/v133y2018icp102-126.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
68,Can iron-fortified salt control anemia? Evidence from two experiments in rural Bihar,"Banerjee, Abhijit & Barnhardt, Sharon & Duflo, Esther",https://ideas.repec.org/a/eee/deveco/v133y2018icp127-146.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
69,Diffusion of agricultural information within social networks: Evidence on gender inequalities from Mali,"Beaman, Lori & Dillon, Andrew",https://ideas.repec.org/a/eee/deveco/v133y2018icp147-161.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
70,"Payment instruments, finance and development","Beck, Thorsten & Pamuk, Haki & Ramrattan, Ravindra & Uras, Burak R.",https://ideas.repec.org/a/eee/deveco/v133y2018icp162-186.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
71,Self-control and the rise and fall of factory discipline,"Hiller, Victor",https://ideas.repec.org/a/eee/deveco/v133y2018icp187-200.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
72,Government spending effects in low-income countries,"Shen, Wenyi & Yang, Shu-Chun S. & Zanna, Luis-Felipe",https://ideas.repec.org/a/eee/deveco/v133y2018icp201-219.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
73,Investment-cash flow sensitivities and capital misallocation,"Ek, Chanbora & Wu, Guiying Laura",https://ideas.repec.org/a/eee/deveco/v133y2018icp220-230.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
74,Subnational diversity in Sub-Saharan Africa: Insights from a new dataset,"Gershman, Boris & Rivera, Diego",https://ideas.repec.org/a/eee/deveco/v133y2018icp231-263.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
75,"Abatement expenditures, technology choice, and environmental performance: Evidence from firm responses to import competition in Mexico","Gutiérrez, Emilio & Teshima, Kensuke",https://ideas.repec.org/a/eee/deveco/v133y2018icp264-274.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
76,Saving more in groups: Field experimental evidence from Chile,"Kast, Felipe & Meier, Stephan & Pomeranz, Dina",https://ideas.repec.org/a/eee/deveco/v133y2018icp275-294.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
77,On the delegation of aid implementation to multilateral agencies,"Annen, Kurt & Knack, Stephen",https://ideas.repec.org/a/eee/deveco/v133y2018icp295-305.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
78,Can environmental policy reduce infant mortality? Evidence from the Ganga Pollution Cases,"Do, Quy-Toan & Joshi, Shareen & Stolper, Samuel",https://ideas.repec.org/a/eee/deveco/v133y2018icp306-325.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
79,Gender quotas in development programming: Null results from a field experiment in Congo,"van der Windt, Peter & Humphreys, Macartan & Sanchez de la Sierra, Raul",https://ideas.repec.org/a/eee/deveco/v133y2018icp326-345.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
80,"Labor force participation, interest rate shocks, and unemployment dynamics in emerging economies","Finkelstein Shapiro, Alan",https://ideas.repec.org/a/eee/deveco/v133y2018icp346-374.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
81,Do rural roads create pathways out of poverty? Evidence from India,"Aggarwal, Shilpa",https://ideas.repec.org/a/eee/deveco/v133y2018icp375-395.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
82,"Trade, informal employment and labor adjustment costs","Arias, Javier & Artuc, Erhan & Lederman, Daniel & Rojas, Diego",https://ideas.repec.org/a/eee/deveco/v133y2018icp396-414.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
83,The long-term health benefits of receiving treatment from qualified midwives at birth,"Lazuka, Volha",https://ideas.repec.org/a/eee/deveco/v133y2018icp415-433.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
84,A theory of regional conflict complexes,"Silve, Arthur & Verdier, Thierry",https://ideas.repec.org/a/eee/deveco/v133y2018icp434-447.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
85,Combining pre-school teacher training with parenting education: A cluster-randomized controlled trial,"Özler, Berk & Fernald, Lia C.H. & Kariger, Patricia & McConnell, Christin & Neuman, Michelle & Fraga, Eduardo",https://ideas.repec.org/a/eee/deveco/v133y2018icp448-467.html," 2018, Volume 133, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
86,"Unit roots, flexible trends, and the Prebisch-Singer hypothesis","Winkelried, Diego",https://ideas.repec.org/a/eee/deveco/v132y2018icp1-17.html," 2018, Volume 132, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
87,Agricultural reforms and production in China: Changes in provincial production function and productivity in 1978–2015,"Gong, Binlei",https://ideas.repec.org/a/eee/deveco/v132y2018icp18-31.html," 2018, Volume 132, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
88,Trading frictions in Indian village economies,"Emerick, Kyle",https://ideas.repec.org/a/eee/deveco/v132y2018icp32-56.html," 2018, Volume 132, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
89,Formalization without certification? Experimental evidence on property rights and investment,"Goldstein, Markus & Houngbedji, Kenneth & Kondylis, Florence & O'Sullivan, Michael & Selod, Harris",https://ideas.repec.org/a/eee/deveco/v132y2018icp57-74.html," 2018, Volume 132, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
90,International import competition and the decision to migrate: Evidence from Mexico,"Majlesi, Kaveh & Narciso, Gaia",https://ideas.repec.org/a/eee/deveco/v132y2018icp75-87.html," 2018, Volume 132, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html,2020-03-09 15:04:23
