,article_name,authors,abstract,ideas_ref_num,ideas_cite_num,handle,doi,url,scrape_time,volume,journal,journal_url
10,Does improved storage technology promote modern input use and food security? Evidence from a randomized trial in Uganda,"['Omotilewa, Oluwatoba J.', 'Ricker-Gilbert, Jacob', 'Ainembabazi, John Herbert', 'Shively, Gerald E.']","We use panel data from a randomized controlled trial (RCT) administered among 1200 smallholders in Uganda to evaluate input use and food security impacts of an improved maize storage technology. After two seasons, households who received the technology were 10 percentage points more likely to plant hybrid maize varieties that are more susceptible to insect pests in storage than traditional lower-yielding varieties. Treated smallholders also stored maize for a longer period, reported a substantial drop in storage losses, and were less likely to use storage chemicals than untreated cohorts. Our results indicate that policies to promote soft kernel high-yielding hybrid maize varieties in sub-Saharan Africa should consider an improvement in post-harvest storage as a complementary intervention to increase adoption of these varieties.",29,2,RePEc:eee:deveco:v:135:y:2018:i:c:p:176-198,10.1016/j.jdeveco.2018.07.006,https://ideas.repec.org/a/eee/deveco/v135y2018icp176-198.html,2020-03-09 19:08:00," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
11,Measuring heterogeneity in preferences over the sex of children,"['Norling, Johannes']","This paper introduces a model-based approach for measuring heterogeneity in sex preferences using birth history records. The approach identifies the combinations of preferences over the sex and number of children that best explain observed childbearing. Empirical estimates indicate that a majority of parents in Africa, Asia, and the Americas consider the sex of children when making childbearing decisions. Many parents prefer sons and many prefer daughters. Comparisons with reported preferences suggest that survey respondents tend to underreport the degree to which they prefer sons or daughters. Estimates indicate that, although sex preferences are widespread, they have little effect on aggregate fertility levels.",13,1,RePEc:eee:deveco:v:135:y:2018:i:c:p:199-221,10.1016/j.jdeveco.2018.07.004,https://ideas.repec.org/a/eee/deveco/v135y2018icp199-221.html,2020-03-09 19:08:04," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
12,Beyond the Quantity–Quality tradeoff: Population control policy and human capital investment,"['Wang, Xuebo', 'Zhang, Junsen']","The quantity–quality tradeoff theory implies that a reduction in fertility would induce more human capital investment per child, and it is widely believed that population control policy could promote human capital levels in developing countries. China's one-child policy (OCP) has significantly reduced the fertility in the country, and popular belief holds that this policy has contributed to the enhancement in China's human capital since 1979. However, the quantity–quality tradeoff dose not present the complete truth—another crucial factor relates to which segment of the population is reduced, a critical issue that has been ignored in the literature. China's OCP is significantly more strictly implemented in urban areas than in rural areas, where human capital investment in children is significantly lower. This two-tier OCP could have significantly increased the rural–urban fertility ratio and brought about important consequences. We first emphasize the importance of such a population compositional effect, which may offset the potentially positive quantity–quality tradeoff effect on human capital. We present a simple analytic framework and quantify the relative sizes of the quantity–quality tradeoff and compositional effects. We find that the former is dominated by the latter, and that the OCP has reduced the average human capital level of China's next generation by approximately 1–2%. This novel evidence indicates that the conventional wisdom on population control may be incomplete and that its policy implications could be misleading.",17,0,RePEc:eee:deveco:v:135:y:2018:i:c:p:222-234,10.1016/j.jdeveco.2018.04.007,https://ideas.repec.org/a/eee/deveco/v135y2018icp222-234.html,2020-03-09 19:08:08," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
13,Subsidies versus mental accounting nudges: Harnessing mobile payment systems to improve sanitation,"['Lipscomb, Molly', 'Schechter, Laura']","The proliferation of mobile money across developing countries has led to an increase in availability of mobile payment systems. This decreases the organizational complexity of allowing more flexible payment terms for customers. We test whether subsidies, deposit requirements, and access to a mobile money savings vehicle increase the propensity of households to purchase an improved but more expensive sanitation service. While high subsidies increase purchases of the improved service, interventions inspired by mental accounting such as deposit requirements and earmarked savings accounts do not. The option to save in earmarked accounts using mobile money caused households to substitute away from purchasing the improved service in the general market and towards purchasing it through our providers, rather than substituting away from the unimproved service. We discuss implications for mental accounting-based policies compared to more traditional subsidies.",20,2,RePEc:eee:deveco:v:135:y:2018:i:c:p:235-254,10.1016/j.jdeveco.2018.07.007,https://ideas.repec.org/a/eee/deveco/v135y2018icp235-254.html,2020-03-09 19:08:11," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
14,Worth fighting for: Daughters improve their mothers' autonomy in South Asia,"['Heath, Rachel', 'Tan, Xu']","In South Asia, parents prize sons for both economic and cultural reasons, and having a son is often thought to improve his mother's status within the household. However, using data from Bangladesh and India, we show that such high regard does not necessarily translate into improved autonomy for her. In fact, a daughter raises her mother's participation in household decisions and her freedom of mobility relative to a son. A daughter also prompts her mother to work more, but not necessarily to consume more. These effects are strongest among mothers of older girls. These results are consistent with a theoretical model in which mothers have greater relative preferences for spending on their daughters than fathers do, and so seek more autonomy to direct resources to their daughters.",41,0,RePEc:eee:deveco:v:135:y:2018:i:c:p:255-271,10.1016/j.jdeveco.2018.07.003,https://ideas.repec.org/a/eee/deveco/v135y2018icp255-271.html,2020-03-09 19:08:15," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
15,Estimating development resilience: A conditional moments-based approach,"['Cissé, Jennifer Denno', 'Barrett, Christopher B.']","Despite significant spending on ‘resilience’ by international development agencies, no theory-based method for estimating or measuring development resilience has yet been developed. This paper introduces an econometric strategy for estimating individual or household-level development resilience from panel data. Estimation of multiple conditional moments of a welfare function—itself specified to permit potentially nonlinear path dynamics—enables the computation and forecasting of individual-specific conditional probabilities of satisfying a normative minimum standard of living. We then develop a decomposable resilience measure that enables aggregation of the individual-specific estimates to targetable subpopulation- and population-level measures. We illustrate the method empirically using household panel data from pastoralist communities in northern Kenya. The results demonstrate the method and its potential for targeting resilience-building interventions.",34,3,RePEc:eee:deveco:v:135:y:2018:i:c:p:272-284,10.1016/j.jdeveco.2018.04.002,https://ideas.repec.org/a/eee/deveco/v135y2018icp272-284.html,2020-03-09 19:08:19," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
16,Long-term effects of access to health care: Medical missions in colonial India,"['Calvi, Rossella', 'Mantovanelli, Federico G.']","Health outcomes in India vary substantially across regions. Motivated by mounting evidence of the historical persistence of institutions and behavior, this paper studies the historical origins of this health variation. We examine the long-term consequences of the Protestant medical missionary enterprise that spread throughout India in the nineteenth century. Protestant mission medicine sought to place itself within non-European social and institutional milieus, contributing to the diffusion of Western medicine among the local population. We construct a novel fully geocoded dataset that combines contemporary individual-level data with historical information on missionary activities. We document a robust positive association between proximity to a Protestant medical mission and current individuals' health outcomes. Our analysis indicates that this long-run link is not driven by religious conversion or persistence of infrastructure, but possibly by improvements in individuals' health potential and changes in hygiene and health habits.",65,2,RePEc:eee:deveco:v:135:y:2018:i:c:p:285-303,10.1016/j.jdeveco.2018.07.009,https://ideas.repec.org/a/eee/deveco/v135y2018icp285-303.html,2020-03-09 19:08:23," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
17,Time use impacts of rural electrification: Longitudinal evidence from Guatemala,"['Grogan, Louise']","This paper examines how obtaining a household electric connection affects the time allocation of rural, indigenous Guatemalans during 2000–2011. Following the end of a thirty-six year civil war, a Rural Electrification Plan substantially expanded electricity access, and subsidized use. This public-private partnership pays companies a fixed fee for connecting households. Causal impacts on time use of individuals are identified using initial geospatial inequalities in public goods provisions within municipalities and this large change in the cost of electrifying households more distant from the electric grid. Women increased time spent working for money by about 2–3 h per day.",28,0,RePEc:eee:deveco:v:135:y:2018:i:c:p:304-317,10.1016/j.jdeveco.2018.03.005,https://ideas.repec.org/a/eee/deveco/v135y2018icp304-317.html,2020-03-09 19:08:26," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
18,The heterogeneous effect of information on student performance: Evidence from a randomized control trial in Mexico,"['Avitabile, Ciro', 'de Hoyos, Rafael']","We use data from the randomized control trial of the Percepciones pilot to study whether providing 10th grade students with information about the average earnings associated with different educational attainments, life expectancy, and obtaining funding for higher education can contribute to improving student outcomes. We find that the intervention had no effects on a proxy for on-time high school completion, but a positive and significant impact on standardized test scores and self-reported measures of effort. The effects on standardized test scores are larger for girls and for students from households with relatively high incomes. We also find positive, but not statistically significant effects, on the probability of taking a university entry exam and of obtaining a high score in the exam.",47,6,RePEc:eee:deveco:v:135:y:2018:i:c:p:318-348,10.1016/j.jdeveco.2018.07.008,https://ideas.repec.org/a/eee/deveco/v135y2018icp318-348.html,2020-03-09 19:08:30," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
19,Cash transfers and labor supply: Evidence from a large-scale program in Iran,"['Salehi-Isfahani, Djavad', 'Mostafavi-Dehzooei, Mohammad H.']","This paper examines the impact of a national cash transfer program on labor supply in Iran. In 2011, Iran started monthly deposits of cash into individual accounts covering more than 70 million people and amounting to 28% of the median per capita household income. The payments were compensation for the sudden removal of hefty energy subsidies. The program has been heavily criticized for its disincentive for work, especially for the poor. We use panel data to study the causal effect of the transfers on labor supply using exogenous variation in the time households first started receiving transfers and in the intensity of treatment, which we define as the share of net transfers from the program in total per capita household expenditures. We find no evidence that cash transfers reduced labor supply, in terms of hours worked or labor force participation. To the contrary, we find positive effects on the labor supply of women and self-employed men.",39,6,RePEc:eee:deveco:v:135:y:2018:i:c:p:349-367,10.1016/j.jdeveco.2018.08.005,https://ideas.repec.org/a/eee/deveco/v135y2018icp349-367.html,2020-03-09 19:08:33," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
20,The economics behind the math gender gap: Colombian evidence on the role of sample selection,"['Muñoz, Juan Sebastián']","The literature that has previously shown that boys outperform girls in math tests has failed to explain the underlying causes of the phenomenon. This math gender gap has been documented to vary across countries, and shown to grow as students advance through school. In this paper I suggest that these patterns may be explained by sample selection caused by gender differences in schooling's opportunity costs, which lead lower-achieving males to drop out. I present and test the implications of a labor supply model that examines the opportunity cost of school attendance and, thereby, the observed math gender gap. Using an exogenous policy change, the launch of a conditional cash transfer program in Colombia, I estimate that sample selection explains between 50 percent and 60 percent of the gap. Estimates of non-parametric bounds show that selection in the lower quantiles of the male distribution explains a significant portion of the gap.",31,0,RePEc:eee:deveco:v:135:y:2018:i:c:p:368-391,10.1016/j.jdeveco.2018.08.007,https://ideas.repec.org/a/eee/deveco/v135y2018icp368-391.html,2020-03-09 19:08:37," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
21,Antiretroviral drug access and behavior change,"['Friedman, Willa Helterline']","Assessing the impact of antiretroviral-drug access on future HIV infections in Sub-Saharan Africa requires identification of the behavioral response. This paper combines geocoded information about the timing of introduction of ARVs in Kenyan health facilities with population surveys to estimate the impact of proximity to ARV providers on adolescent risky sexual behavior. A variety of difference-in-difference strategies yield a range of estimates of behavioral effects on pregnancy rates and self-reported sexual activity among 15-18 year-olds in areas where ARVs were introduced, from small to quite large. A simulation combining estimated behavioral responses with medical evidence regarding HIV transmission suggests increasing ARV access will reduce new HIV infections even with a very large increases in risk-taking.",40,10,RePEc:eee:deveco:v:135:y:2018:i:c:p:392-411,10.1016/j.jdeveco.2018.07.011,https://ideas.repec.org/a/eee/deveco/v135y2018icp392-411.html,2020-03-09 19:08:41," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
22,"Technology, offshoring and the rise of non-routine jobs","['Reijnders, Laurie S.M.', 'de Vries, Gaaitzen J.']","This paper documents the growing share of non-routine jobs in the labor force of thirty-seven advanced and emerging countries over the period 1999–2007. To examine the role of offshoring and technological change in driving this labor market development, we develop a task-based model of production in global value chains and propose a decomposition of changes in occupational labor demand. In the setup of the model, technological change affects the total number of workers with a certain occupation throughout the production chain, while task relocation consists of a shift in occupational labor demand from one location to another. For the empirical implementation we combine harmonized cross-country occupations data with world input-output tables. The results of our decomposition suggest that technological change increased the number of non-routine relative to routine occupations in all countries. The effect of task relocation is less strong, and works in the same direction for advanced countries such as Germany and the United States but in the opposite direction for emerging countries such as China and Poland.",38,4,RePEc:eee:deveco:v:135:y:2018:i:c:p:412-432,10.1016/j.jdeveco.2018.08.009,https://ideas.repec.org/a/eee/deveco/v135y2018icp412-432.html,2020-03-09 19:08:44," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
23,The impact of U.S. deportation of criminals on gang development and education in El Salvador,"['Kalsi, Priti']","This paper links American criminal deportations with gang activity and reduced schooling in El Salvador. Regions with greater business density before the deportations are argued to be suitable for future gangs, as extortion of businesses is their primary source of income. These regions are shown to become disproportionately more violent with more criminal deportations. Using variation in time and location, I estimate a difference-in-differences model to study the impact of gang exposure on children's education. Gangs hinder basic education (comparable to U.S. grades 1–9), with boys experiencing a greater loss in schooling. I reject the threat of a pre-existing trend and selective migration in high business density areas. The results do not appear to be explained by violence alone, but by a weakening economy in gang-prone areas that could have lowered the returns to schooling. Boys' involvement in gangs and increased employment could explain their larger loss of schooling.",13,0,RePEc:eee:deveco:v:135:y:2018:i:c:p:433-448,10.1016/j.jdeveco.2018.08.010,https://ideas.repec.org/a/eee/deveco/v135y2018icp433-448.html,2020-03-09 19:08:48," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
24,Widows' land rights and agricultural investment,"['Dillon, Brian', 'Voena, Alessandra']","This paper examines the connection between widows' land inheritance rights and land investments in Zambia. We study whether the threat of land expropriation upon widowhood deters households from fallowing, applying fertilizer, and employing labor-intensive tillage techniques. Variation in inheritance by widows is based on customary village practices, which we observe in surveys of village leaders. Controlling for possible confounding factors, both OLS and IV estimates show lower levels of land investment by married couples in villages where widows do not inherit. Concern over prospective loss of land by the wives reduces investment in land quality even while the husband is alive.",34,1,RePEc:eee:deveco:v:135:y:2018:i:c:p:449-460,10.1016/j.jdeveco.2018.08.006,https://ideas.repec.org/a/eee/deveco/v135y2018icp449-460.html,2020-03-09 19:08:52," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
25,Aid and growth: evidence from firm-level data,"['Chauvet, Lisa', 'Ehrhart, Hélène']","This paper explores the impact of foreign aid on firm growth for a panel of 4355 firms in 29 developing countries, 11 of which are in Africa. Using the World Bank Enterprise Surveys data and controlling for firm fixed effects, we find a positive impact of foreign aid on firms' sales growth. This result is robust to several checks, notably to the instrumentation of aid and to estimations on various sub-samples and on an extended cross-section sample of 93 countries. We then provide evidence that the positive effect of aid is especially strong for firms operating in sectors that are intensive in infrastructure and external finance, suggesting that aid may improve firm performance through the alleviation of infrastructure and financing constraints in developing countries.",64,3,RePEc:eee:deveco:v:135:y:2018:i:c:p:461-477,10.1016/j.jdeveco.2018.07.010,https://ideas.repec.org/a/eee/deveco/v135y2018icp461-477.html,2020-03-09 19:08:55," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
26,Political inclusion and educational investment: Estimates from a national policy experiment in India,"[""O'Connell, Stephen D.""]","I examine whether the “role model effect” of female politicians on adolescent girls' school enrollment comes only from female representation in the lowest level of local government. To do this, I exploit variation in the implementation of seat quotas for women applied to a three-tiered local governance structure in India. Enrollment effects were substantially larger than those previously estimated for exposure to female leaders in the lowest tier of local government. The policy response is larger among girls in poorer households and those with less-educated women in the household, and was commensurate with reductions in idle time and employment in household enterprises. There is no evidence of additional school infrastructure, nor a reallocation of schooling resources. Effect magnitudes imply that more than two thirds of the net effect of the policy comes from female politicians serving in reserved positions other than the village council chairperson seat.",13,0,RePEc:eee:deveco:v:135:y:2018:i:c:p:478-487,10.1016/j.jdeveco.2018.08.004,https://ideas.repec.org/a/eee/deveco/v135y2018icp478-487.html,2020-03-09 19:08:59," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
27,Agricultural productivity and the sectoral reallocation of labor in rural India,"['Emerick, Kyle']","How do shocks to agricultural productivity affect the allocation of labor across sectors of the economy? To answer this, I use data from rural India to show that exogenous increases in agricultural productivity — caused by abnormally high levels of precipitation — lead to an increase in the labor share of the non-agricultural sector. I further show that the non-tradable sector expands significantly when agricultural output increases. This evidence is consistent with increasing agricultural output causing increased demand for local non-tradables, which in turn increases the non-agricultural labor share.",38,2,RePEc:eee:deveco:v:135:y:2018:i:c:p:488-503,10.1016/j.jdeveco.2018.08.013,https://ideas.repec.org/a/eee/deveco/v135y2018icp488-503.html,2020-03-09 19:09:03," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
28,"Labor scarcity, land tenure, and historical legacy: Evidence from Mexico","['Sellars, Emily A.', 'Alix-Garcia, Jennifer']","How does labor scarcity shape institutional development? We examine the long-term impact of Mexico's 16th-century demographic collapse on landholding patterns through the present day. We show that the collapse, which reduced the indigenous population by between 70 and 90 percent and differed in severity across space, facilitated land concentration and the rise of a landowner class that dominated Mexican political economy for centuries. To identify the impact of the population collapse on land arrangements we use an instrumental-variables identification strategy exploiting climatic shocks associated with an epidemic in the 1570s that roughly halved the indigenous population. Though landholding patterns were transformed following the Revolution of 1910, we also show that disease-impacted areas now have more land in common-property institutions with limited property rights. The population collapse thus had a persistent impact on Mexican political economy, but the nature of this impact has changed radically over time.",26,3,RePEc:eee:deveco:v:135:y:2018:i:c:p:504-516,10.1016/j.jdeveco.2018.07.014,https://ideas.repec.org/a/eee/deveco/v135y2018icp504-516.html,2020-03-09 19:09:06," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
29,Formal finance and informal safety nets of the poor: Evidence from a savings field experiment,"['Flory, Jeffrey A.']","Using a field experiment on financial service information delivery in over 320 villages in Malawi, I find that formal savings increases agricultural investments and crop income, and raises private transfers to other households during the hungry season. Households with higher education adopt accounts and experience rises in savings and income, while low education households do not. However, the benefits to adopters are used to help insure the rest of the village – in contrast to suggestions elsewhere in the literature that savings may negatively impact sharing through networks. Non-savers experience large rises in transfer receipts, improved food consumption, and better health. The worst-off households experience particularly strong increases in informal aid. Findings show financial markets expansion has immediate effects beyond service-users, with large and surprising impacts on informal support systems. Results also support the effectiveness of a novel method to spur service uptake and accelerate financial deepening.",32,2,RePEc:eee:deveco:v:135:y:2018:i:c:p:517-533,10.1016/j.jdeveco.2018.07.015,https://ideas.repec.org/a/eee/deveco/v135y2018icp517-533.html,2020-03-09 19:09:10," 2018, Volume 135, Issue C","Journal of Development Economics, Elsevier",https://ideas.repec.org/s/eee/deveco.html
